Subject,Contact_Time_MAE_ms,Total_Error_ms,Error_Count,Matched_GT_Segments,Missed_GT_FN,Unmatched_False_Pred,Total_GT,Total_Pred,Matched_Boundary_MAE_ms,Missed_GT_Avg_Length_ms,Unmatched_False_Pred_Avg_Length_ms
subject10,78.50,492533.33,6274,6003,64,207,6067,6200,76.43,136.46,120.77
subject1,76.49,494766.67,6468,6235,49,184,6284,6362,74.78,112.24,125.00
subject2,108.62,751466.67,6918,6466,363,89,6829,6457,108.01,116.44,121.35
subject3,87.16,701166.67,8045,7895,41,109,7936,7950,86.35,122.76,131.80
subject4,103.07,651933.33,6325,5940,87,298,6027,6200,100.35,194.25,130.65
subject5,110.36,737633.33,6684,6451,156,77,6607,6397,108.69,176.28,116.88
subject6,95.68,589033.33,6156,6028,36,92,6064,6119,93.82,102.78,214.86
subject7,81.33,559066.67,6874,6728,91,55,6819,6792,80.13,157.14,102.42
subject8,82.59,539833.33,6536,6328,82,126,6410,6398,80.26,147.56,157.41
subject9,108.58,682966.67,6290,5953,77,260,6030,6163,104.96,241.56,152.18
AVG,93.24,620040.00,6657.0,6402.7,104.6,149.7,6507.3,6503.8,91.38,150.75,137.33
