Subject,Event,MAE_ms,Median_ms,Matched,Missed_GT,False_Pred,GT_Total,Pred_Total
subject10,onset,28.90,33.33,5966,101,234,6067,6200
subject10,departure,30.37,33.33,5965,102,235,6067,6200
subject1,onset,24.81,33.33,6160,124,202,6284,6362
subject1,departure,31.43,33.33,6160,124,202,6284,6362
subject2,onset,31.67,33.33,6341,488,116,6829,6457
subject2,departure,43.01,33.33,6335,494,122,6829,6457
subject3,onset,30.18,33.33,7800,136,150,7936,7950
subject3,departure,27.74,33.33,7802,134,148,7936,7950
subject4,onset,31.63,33.33,5851,176,349,6027,6200
subject4,departure,39.33,33.33,5847,180,353,6027,6200
subject5,onset,32.20,33.33,6294,313,103,6607,6397
subject5,departure,38.29,33.33,6297,310,100,6607,6397
subject6,onset,27.04,33.33,5963,101,156,6064,6119
subject6,departure,42.35,33.33,5964,100,155,6064,6119
subject7,onset,25.13,33.33,6668,151,124,6819,6792
subject7,departure,31.98,33.33,6665,154,127,6819,6792
subject8,onset,25.47,33.33,6249,161,149,6410,6398
subject8,departure,31.25,33.33,6244,166,154,6410,6398
subject9,onset,34.89,33.33,5858,172,305,6030,6163
subject9,departure,44.52,33.33,5855,175,308,6030,6163
